MAP 	PAP 	PAV 	MAV 	ID
18	18	10	18	1212 
13	12	11	13	1213 
20	17	19	17	1214 
19	12	21	5	1215 
21	8	6	7	1216 
16	21	12	16	1217 
11	17	13	17	1218 
15	9	6	12	1219 
10	9	7	16	1220 
21	4	18	7	1221 
17	16	13	11	1222 
14	18	8	8	1223 
21	12	13	13	1224 
17	16	13	14	1225 
15	11	11	12	1226 
17	11	12	13	1227 
19	16	18	17	1228 
17	4	5	8	1229 
12	12	12	15	1230 
19	18	15	11	1231 
18	16	15	15	1232 
17	21	13	11	1233 
14	15	11	13	1234 
21	18	13	11	1235 
15	18	10	7	1236 
17	17	11	9	1237 
20	12	20	14	1238 
